Направление расходов,Наименование вида расходов,Вид объекта,Дата проведения,Конечный остаток
"пр. Карла Маркса, 29/2",ЭЭ,Здание,31.12.2020,3795938.8
пр. К/Маркса 29/2,ДТ,Здание,31.12.2020,15139074.81
Ленинская 22,ДТ,Здание,31.12.2020,2767.5
"Ленинская, 33",ДТ,Здание,31.12.2020,327.5
"Поротова, 14",ТЭ,Здание,31.12.2020,669642.33
"Ленинская, 33",ТЭ,Здание,31.12.2020,1138760.53
"Партизанская, 11",ТЭ,Здание,31.12.2020,1524002.72
"Ленинская, 22",ТЭ,Здание,31.12.2020,681665.76
"Поротова, 14",ВО,Здание,31.12.2020,3623.78
"Ленинская, 33",ВО,Здание,31.12.2020,5347.25
"Ленинская, 22",ВО,Здание,31.12.2020,7230.29
"пр. Карла Маркса, 29/2",ВО,Здание,31.12.2020,397046.69
"Ленинская, 33",ГВС,Здание,31.12.2020,9000.58
"Поротова, 14",ХВС,Здание,31.12.2020,2563.88
"Ленинская, 33",ХВС,Здание,31.12.2020,3217.39
"Партизанская, 11",ХВС,Здание,31.12.2020,120.19
"Ленинская, 22",ХВС,Здание,31.12.2020,11402.17
"пр. Карла Маркса, 29/2",ХВС,Здание,31.12.2020,143990.71
"РКЦ Комсомольск-на-Амуре, пр. Первостроителей, 19",ЭЭ,Здание,31.12.2020,723789.78
"Советская, 26",ЭЭ,Здание,31.12.2020,721279.37
"Воронежская, 154",ЭЭ,Здание,31.12.2020,5339676.55
"М-Амурского, 42",ЭЭ,Здание,31.12.2020,2769297.76
"М-Амурского, 21",ЭЭ,Здание,31.12.2020,2348532.15
"Калинина, 95",ЭЭ,Здание,31.12.2020,27093.07
"РКЦ Комсомольск-на-Амуре, пр. Первостроителей, 19",ТЭ,Здание,31.12.2020,726723.4
"ул, Воронежская, 154",ТЭ,Здание,31.12.2020,5986530.65
"М- Амурского, 21",ТЭ,Здание,31.12.2020,1004333.49
"М- Амурского, 42",ТЭ,Здание,31.12.2020,29265.06
"Советская, 26",ТЭ,Здание,31.12.2020,1505917.46
"Калинина, 95",ТЭ,Здание,31.12.2020,321806.99
"М- Амурского, 42",ТЭ,Здание,31.12.2020,2536732.97
"Советская, 27",ТЭ,Здание,31.12.2020,3548.01
"Советская, 26",ВО,Здание,31.12.2020,3643.95
"Воронежская, 154",ВО,Здание,31.12.2020,61829.5
"М-Амурского, 21",ВО,Здание,31.12.2020,35512.08
"М-Амурского, 42",ВО,Здание,31.12.2020,81890.61
"РКЦ Комсомольск-на-Амуре, пр. Первостроителей, 19",ВО,Здание,31.12.2020,6735.89
"Советская, 26",ХВС,Здание,31.12.2020,9740.27
"Воронежская, 154",ХВС,Здание,31.12.2020,52621.34
"М- Амурского, 21",ХВС,Здание,31.12.2020,44056.76
"М- Амурского, 42",ХВС,Здание,31.12.2020,36790.45
"РКЦ Комсомольск-на-Амуре,пр. Первостроителей, 19",ХВС,Здание,31.12.2020,6484.5
"Комсомольск -на- Амуре, пр. Первостроителей, 19",ГВС,Здание,31.12.2020,5380.67
"Воронежская, 154",ГВС,Здание,31.12.2020,4216.12
"М-Амурского, 42",ГВС,Здание,31.12.2020,61781.2
"Советская, 26",ГВС,Здание,31.12.2020,114.07
"Южно-Сахалинск, Коммунистический пр-т, д. 47",ПЭ,Здание,31.12.2020,4664366.87
"Карла Маркса, д. 16",ПЭ,Здание,31.12.2020,250860.0
"Южно-Сахалинск, Коммунистический пр-т, д. 47",О,Здание,31.12.2020,1868597.7
"Карла Маркса, д. 16",О,Здание,31.12.2020,10447.87
"Южно-Сахалинск, Коммунистический пр-т, д. 47",ВО,Здание,31.12.2020,33253.76
"Южно-Сахалинск, Коммунистический пр-т, д. 47",ХВС,Здание,31.12.2020,54664.61
"Кирова,17",ЭЭ,Здание,31.12.2020,4375352.37
"50 лет Советской Армии, 31/7",ЭЭ,Здание,31.12.2020,844.35
Покровск,ЭЭ,Здание,31.12.2020,7230.02
"Ленина, 70",ЭЭ,Здание,31.12.2020,479639.42
РКЦ Нерюнгри,ЭЭ,Здание,31.12.2020,592188.43
"Ленина, 22",ЭЭ,Здание,31.12.2020,118.57
"50 лет Советской Армии, 31/7",ТЭ,Здание,31.12.2020,243984.3
Покровск,ТЭ,Здание,31.12.2020,403344.91
"Ленина, 70",ТЭ,Здание,31.12.2020,1349022.74
РКЦ Нерюнгри,ТЭ,Здание,31.12.2020,946700.71
"Ленина, 22",ТЭ,Здание,31.12.2020,5366.11
Покровск,ХВС,Здание,31.12.2020,10863.66
"Ленина, 70",ХВС,Здание,31.12.2020,3888.65
РКЦ Нерюнгри,ХВС,Здание,31.12.2020,12889.26
"Кирова,17",ХВС,Здание,31.12.2020,89605.88
Покровск,ГВС,Здание,31.12.2020,1550.36
"Ленина,70",ВО,Здание,31.12.2020,13747.79
РКЦ Нерюнгри,ВО,Здание,31.12.2020,17321.95
"Кирова, 17",ВО,Здание,31.12.2020,127028.16
Покровск,ВО,Здание,31.12.2020,13853.97
"Кирова,17",ПГ,Здание,31.12.2020,784320.06
"Светланская, 71",ЭЭ,буфет,31.12.2020,36756.16
"Светланская, 73",ЭЭ,столовая,31.12.2020,260370.14
"Светланская, 71",ТЭ,буфет,31.12.2020,12128.48
"Светланская, 73",ТЭ,столовая,31.12.2020,88670.55
"Светланская,73",ХВС,столовая,31.12.2020,13668.48
"Светланская,71",ХВС,буфет,31.12.2020,226.24
"Светланская, 71",ВО,буфет,31.12.2020,120.06
"Светланская, 73",ВО,столовая,31.12.2020,7285.41
"Верхнепортовая, 44",ЭЭ,Здание,31.12.2020,38879.23
"Верхнепортовая, 44",ТЭ,Здание,31.12.2020,105262.7
"Верхнепортовая, 44",ВО,Здание,31.12.2020,8413.0
"Верхнепортовая, 44",ХВС,Здание,31.12.2020,12885.89
"Верхнепортовая, 44",ГВС,Здание,31.12.2020,821.17
пр. К/Маркса 29/2,ДТ,Здание,31.12.2020,623033.58
"Воронежская, 154",ЭЭ,Здание,31.12.2020,279786.24
"Муравьева-Амурского, 21",ЭЭ,Здание,31.12.2020,341171.76
"Муравьева-Амурского, 42",ЭЭ,Здание,31.12.2020,103503.9
"Воронежская, 154",ТЭ,Здание,31.12.2020,429449.84
"Муравьева-Амурского, 21",ТЭ,Здание,31.12.2020,217604.45
"Муравьева-Амурского, 42",ТЭ,Здание,31.12.2020,127132.22
"Воронежская, 154",ВО,Здание,31.12.2020,3056.37
"Муравьева-Амурского, 21",ВО,Здание,31.12.2020,6166.08
"Муравьева-Амурского, 42",ВО,Здание,31.12.2020,2907.19
"Воронежская, 154",ГВС,Здание,31.12.2020,275.67
"Муравьева-Амурского, 42",ГВС,Здание,31.12.2020,2477.25
"Воронежская, 154",ХВС,Здание,31.12.2020,2602.86
"Муравьева-Амурского, 21",ХВС,Здание,31.12.2020,7652.05
"Муравьева-Амурского, 42",ХВС,Здание,31.12.2020,1435.88
