Подразделение БР,Код вида расходов,Наименование вида расходов,Направление расходов,Вид объекта,Дата проведения (день),Дата проведения (месяц),Дата проведения (год),Конечный остаток
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,10,1,2019,1340.72
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,14,1,2019,12.09
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,7,2,2019,12.3
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,2,2019,986.7
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,7,3,2019,834.9
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,12,3,2019,12.3
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,5,4,2019,12.3
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,4,2019,1189.1
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,5,2019,12.3
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,15,5,2019,1113.2
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,7,6,2019,1872.2
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,13,6,2019,12.3
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,9,7,2019,759.0
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,15,7,2019,12.3
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,8,2019,12.79
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,8,2019,1604.81
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,2,9,2019,1183.88
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,5,9,2019,12.79
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,2,10,2019,973.41
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,17,10,2019,12.79
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,6,11,2019,1446.96
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,11,2019,12.79
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,5,12,2019,1368.03
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,10,12,2019,12.79
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,27,12,2019,1420.65
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,14,1,2019,404.4
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,18,1,2019,1365.36
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,7,2,2019,411.28
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,19,2,2019,1141.18
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,12,3,2019,411.28
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,19,3,2019,1118.76
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,5,4,2019,411.28
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,22,4,2019,1345.5
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,5,2019,411.28
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,21,5,2019,1298.16
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,13,6,2019,411.28
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,18,6,2019,1597.16
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,15,7,2019,411.28
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,19,7,2019,3882.02
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,8,2019,418.15
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,20,8,2019,732.13
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,5,9,2019,418.15
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,18,9,2019,1086.8
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,17,10,2019,418.15
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,21,10,2019,1335.07
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,8,11,2019,418.15
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,21,11,2019,2249.6
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,10,12,2019,418.15
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул.Верхнепортовая, 44 ",Здание,18,12,2019,1069.07
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,10,1,2019,14.78
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,8,2,2019,15.02
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,7,3,2019,15.02
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,8,4,2019,15.02
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,15,5,2019,15.02
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,7,6,2019,15.02
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,9,7,2019,15.02
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,8,8,2019,16.38
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,2,9,2019,15.88
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,2,10,2019,16.38
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,6,11,2019,16.38
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,5,12,2019,16.38
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,27,12,2019,16.38
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,10,1,2019,738.68
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,8,2,2019,1081.73
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,7,3,2019,931.49
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,8,4,2019,646.04
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,15,5,2019,856.37
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,7,6,2019,826.32
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,9,7,2019,1246.99
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,8,8,2019,1359.54
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,2,9,2019,842.08
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,2,10,2019,819.0
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,6,11,2019,819.0
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,5,12,2019,950.04
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,27,12,2019,1015.56
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,14,1,2019,519.13
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,8,2,2019,2241.52
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,11,3,2019,2250.17
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,8,4,2019,1791.48
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,15,5,2019,1003.92
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,10,6,2019,268.3
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,9,7,2019,54.66
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,8,8,2019,7.0
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,11,9,2019,50.37
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,9,10,2019,17.72
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,11,11,2019,6.53
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,10,12,2019,1417.96
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,14,1,2019,4686.25
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,8,2,2019,17001.68
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,11,3,2019,14267.42
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,8,4,2019,11888.12
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,15,5,2019,8235.91
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,10,6,2019,1461.02
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,9,7,2019,1268.79
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,8,8,2019,1443.61
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,11,9,2019,1587.97
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,9,10,2019,360.79
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,11,11,2019,631.55
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 73",столовая,10,12,2019,10792.79
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,10,1,2019,29.85
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,8,2,2019,30.36
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,7,3,2019,30.36
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,8,4,2019,30.36
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,15,5,2019,30.36
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,7,6,2019,30.36
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,9,7,2019,30.36
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,8,8,2019,31.57
Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Светланская, 71",буфет,2,9,2019,31.12
