Год сметы,Смета,Подразделение БР,Код вида расходов,Наименование вида расходов,Направление расходов,Конечный остаток,Дата проведения,Дата проведения (день),Дата проведения (месяц),Дата проведения (год)
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",13.27,2019-11-08,8.0,11.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",709.8,2019-12-05,5.0,12.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",13.27,2019-12-10,10.0,12.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за водоотведение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",737.1,2019-12-27,27.0,12.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",64.4,2019-01-14,14.0,1.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",65.49,2019-02-07,7.0,2.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",65.49,2019-03-12,12.0,3.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",65.49,2019-04-05,5.0,4.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",65.49,2019-05-08,8.0,5.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",65.49,2019-06-13,13.0,6.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",65.49,2019-07-15,15.0,7.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",67.26,2019-08-08,8.0,8.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",67.26,2019-09-05,5.0,9.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",67.26,2019-10-17,17.0,10.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",67.26,2019-11-08,8.0,11.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за горячее водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",67.26,2019-12-10,10.0,12.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",1637.27,2019-01-14,14.0,1.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",16500.49,2019-02-08,8.0,2.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",14181.24,2019-03-11,11.0,3.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12357.34,2019-04-08,8.0,4.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",9404.18,2019-05-15,15.0,5.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",3383.98,2019-06-10,10.0,6.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",3568.08,2019-07-09,9.0,7.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",4567.15,2019-08-08,8.0,8.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",3535.17,2019-09-11,11.0,9.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",4415.56,2019-10-09,9.0,10.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",3377.74,2019-11-11,11.0,11.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за тепловую энергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",11588.89,2019-12-10,10.0,12.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",1340.72,2019-01-10,10.0,1.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12.09,2019-01-14,14.0,1.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12.3,2019-02-07,7.0,2.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",986.7,2019-02-08,8.0,2.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",834.9,2019-03-07,7.0,3.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12.3,2019-03-12,12.0,3.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12.3,2019-04-05,5.0,4.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",1189.1,2019-04-08,8.0,4.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12.3,2019-05-08,8.0,5.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",1113.2,2019-05-15,15.0,5.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",1872.2,2019-06-07,7.0,6.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12.3,2019-06-13,13.0,6.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",759.0,2019-07-09,9.0,7.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12.3,2019-07-15,15.0,7.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12.79,2019-08-08,8.0,8.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",1604.81,2019-08-08,8.0,8.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",1183.88,2019-09-02,2.0,9.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12.79,2019-09-05,5.0,9.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",973.41,2019-10-02,2.0,10.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12.79,2019-10-17,17.0,10.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",1446.96,2019-11-06,6.0,11.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12.79,2019-11-08,8.0,11.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",1368.03,2019-12-05,5.0,12.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",12.79,2019-12-10,10.0,12.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за холодное водоснабжение по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",1420.65,2019-12-27,27.0,12.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",404.4,2019-01-14,14.0,1.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",1365.36,2019-01-18,18.0,1.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",411.28,2019-02-07,7.0,2.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",1141.18,2019-02-19,19.0,2.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",411.28,2019-03-12,12.0,3.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",1118.76,2019-03-19,19.0,3.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",411.28,2019-04-05,5.0,4.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",1345.5,2019-04-22,22.0,4.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",411.28,2019-05-08,8.0,5.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",1298.16,2019-05-21,21.0,5.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",411.28,2019-06-13,13.0,6.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",1597.16,2019-06-18,18.0,6.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",411.28,2019-07-15,15.0,7.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",3882.02,2019-07-19,19.0,7.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",418.15,2019-08-08,8.0,8.0,2019.0
2019,Общежитие Дальневосточного ГУ Банка России г. Владивосток,Дальневосточное главное управление Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"Оплата за электроэнергию по тарифам зд. ул.Верхнепортовая, 44 -  ст.134.1100",732.13,2019-08-20,20.0,8.0,2019.0
